Date	SPY
1996-06-03	41.003845
1996-06-04	41.290421
1996-06-05	41.653488
1996-06-06	41.347763
1996-06-07	41.347763
1996-06-10	41.214001
1996-06-11	41.175789
1996-06-12	41.099373
1996-06-13	41.099373
1996-06-14	40.927414
1996-06-17	40.898746
1996-06-18	40.564373
1996-06-19	40.745903
1996-06-20	40.717232
1996-06-21	41.067451
1996-06-24	41.144257
1996-06-25	41.096241
1996-06-26	40.817715
1996-06-27	41.105846
1996-06-28	41.249924
1996-07-01	41.605263
1996-07-02	41.451588
1996-07-03	41.36515
1996-07-05	40.308701
1996-07-08	40.14542
1996-07-09	40.308701
1996-07-10	40.47197
1996-07-11	39.655617
1996-07-12	39.684425
1996-07-15	38.512722
1996-07-16	38.608761
1996-07-17	39.069763
1996-07-18	39.60759
1996-07-19	39.31945
1996-07-22	39.031349
1996-07-23	38.531929
1996-07-24	38.608761
1996-07-25	38.954514
1996-07-26	39.165813
1996-07-29	38.73362
1996-07-30	39.108185
1996-07-31	39.396309
1996-08-01	40.0494
1996-08-02	40.913757
1996-08-05	40.673668
1996-08-06	40.798519
1996-08-07	40.904171
1996-08-08	40.836922
1996-08-09	40.702465
1996-08-12	41.000198
1996-08-13	40.673668
1996-08-14	40.817715
1996-08-15	40.740894
1996-08-16	41.086609
1996-08-19	41.105846
1996-08-20	41.077023
1996-08-21	40.93298
1996-08-22	41.317139
1996-08-23	41.096241
1996-08-26	40.894581
1996-08-27	41.048206
1996-08-28	40.981007
1996-08-29	40.577625
1996-08-30	40.155029
1996-09-03	40.414349
1996-09-04	40.452755
1996-09-05	39.962933
1996-09-06	40.529617
1996-09-09	41.009789
1996-09-10	40.990589
1996-09-11	41.221107
1996-09-12	41.509216
1996-09-13	42.143108
1996-09-16	42.296791
1996-09-17	42.200718
1996-09-18	42.0951
1996-09-19	42.258354
1996-09-20	42.408241
1996-09-23	42.398594
1996-09-24	42.38892
1996-09-25	42.4179
1996-09-26	42.398594
1996-09-27	42.437218
1996-09-30	42.398594
1996-10-01	42.63028
1996-10-02	42.919888
1996-10-03	42.881275
1996-10-04	43.46051
1996-10-07	43.508739
1996-10-08	43.334988
1996-10-09	42.997124
1996-10-10	42.910233
1996-10-11	43.441162
1996-10-14	43.499119
1996-10-15	43.441162
1996-10-16	43.653542
1996-10-17	43.769428
1996-10-18	44.001095
1996-10-21	43.943153
1996-10-22	43.63427
1996-10-23	43.779072
1996-10-24	43.402569
1996-10-25	43.441162
1996-10-28	43.151573
1996-10-29	43.499119
1996-10-30	43.354294
1996-10-31	43.769428
1996-11-01	43.614956
1996-11-04	43.904549
1996-11-05	44.155537
1996-11-06	45.005051
1996-11-07	45.111279
1996-11-08	45.362259
1996-11-11	45.314003
1996-11-12	45.178825
1996-11-13	45.381573
1996-11-14	45.680805
1996-11-15	45.738743
1996-11-18	45.748421
1996-11-19	46.076603
1996-11-20	46.153862
1996-11-21	46.086266
1996-11-22	46.443459
1996-11-25	47.032322
1996-11-26	46.877872
1996-11-27	46.790981
1996-11-29	46.964764
1996-12-02	46.984039
1996-12-03	46.182808
1996-12-04	46.308311
1996-12-05	46.182808
1996-12-06	45.912521
1996-12-09	46.588257
1996-12-10	46.366241
1996-12-11	45.941479
1996-12-12	45.178825
1996-12-13	45.294689
1996-12-16	44.715466
1996-12-17	45.072651
1996-12-18	45.429832
1996-12-19	46.366241
1996-12-20	46.467979
1996-12-23	46.351563
1996-12-24	46.691093
1996-12-26	47.050037
1996-12-27	47.108234
1996-12-30	46.700802
1996-12-31	45.847095
1997-01-02	45.963516
1997-01-03	46.623177
1997-01-06	46.215748
1997-01-07	46.778404
1997-01-08	46.370956
1997-01-09	46.758995
1997-01-10	47.263462
1997-01-13	47.195541
1997-01-14	47.787312
1997-01-15	47.670914
1997-01-16	47.864944
1997-01-17	48.15596
1997-01-20	48.21418
1997-01-21	48.6022
1997-01-22	48.951443
1997-01-23	48.272354
1997-01-24	47.651505
1997-01-27	47.515667
1997-01-28	47.651505
1997-01-29	48.117172
1997-01-30	48.738014
1997-01-31	48.679798
1997-02-03	48.82534
1997-02-04	49.126034
1997-02-05	48.20446
1997-02-06	48.52459
1997-02-07	49.184258
1997-02-10	48.718601
1997-02-11	49.281284
1997-02-12	49.979752
1997-02-13	50.522999
1997-02-14	50.406586
